studentId,date,status
s1,2026-04-14,present
s1,2026-04-15,present
s1,2026-04-16,present
s1,2026-04-17,present
s1,2026-04-18,weekend
s1,2026-04-19,weekend
s1,2026-04-20,present
s1,2026-04-21,present
s1,2026-04-22,present
s1,2026-04-23,present
s1,2026-04-24,present
s1,2026-04-25,weekend
s1,2026-04-26,weekend
s1,2026-04-27,present
s1,2026-04-28,present
s1,2026-04-29,present
s1,2026-04-30,present
s1,2026-05-01,present
s1,2026-05-02,weekend
s1,2026-05-03,weekend
s1,2026-05-04,present
s1,2026-05-05,present
s1,2026-05-06,present
s1,2026-05-07,present
s1,2026-05-08,present
s1,2026-05-09,weekend
s1,2026-05-10,weekend
s1,2026-05-11,present
s1,2026-05-12,present
s1,2026-05-13,present
s1,2026-05-14,present
s1,2026-05-15,present
s1,2026-05-16,weekend
s1,2026-05-17,weekend
s1,2026-05-18,present
s1,2026-05-19,present
s1,2026-05-20,present
s1,2026-05-21,present
s1,2026-05-22,present
s1,2026-05-23,weekend
s1,2026-05-24,weekend
s1,2026-05-25,present
s1,2026-05-26,present
s1,2026-05-27,present
s1,2026-05-28,present
s1,2026-05-29,present
s1,2026-05-30,weekend
s1,2026-05-31,weekend
s1,2026-06-01,present
s1,2026-06-02,present
s1,2026-06-03,present
s1,2026-06-04,present
s1,2026-06-05,present
s1,2026-06-06,weekend
s1,2026-06-07,weekend
s1,2026-06-08,present
s1,2026-06-09,present
s1,2026-06-10,present
s1,2026-06-11,present
s1,2026-06-12,present
s1,2026-06-13,weekend
s1,2026-06-14,weekend
s1,2026-06-15,present
s1,2026-06-16,present
s1,2026-06-17,present
s1,2026-06-18,present
s1,2026-06-19,present
s1,2026-06-20,weekend
s1,2026-06-21,weekend
s1,2026-06-22,present
s1,2026-06-23,present
s1,2026-06-24,present
s1,2026-06-25,present
s1,2026-06-26,present
s1,2026-06-27,weekend
s1,2026-06-28,weekend
s1,2026-06-29,present
s1,2026-06-30,present
s1,2026-07-01,present
s1,2026-07-02,present
s1,2026-07-03,present
s1,2026-07-04,weekend
s1,2026-07-05,weekend
s1,2026-07-06,present
s1,2026-07-07,present
s1,2026-07-08,present
s1,2026-07-09,present
s1,2026-07-10,present
s1,2026-07-11,weekend
s1,2026-07-12,weekend
s1,2026-07-13,present
s1,2026-07-14,present
s1,2026-07-15,present
s1,2026-07-16,present
s1,2026-07-17,present
s1,2026-07-18,weekend
s1,2026-07-19,weekend
s1,2026-07-20,present
s1,2026-07-21,present
s1,2026-07-22,present
s1,2026-07-23,present
s1,2026-07-24,present
s1,2026-07-25,weekend
s1,2026-07-26,weekend
s1,2026-07-27,present
s1,2026-07-28,present
s1,2026-07-29,present
s1,2026-07-30,present
s1,2026-07-31,present
s1,2026-08-01,weekend
s1,2026-08-02,weekend
s1,2026-08-03,present
s1,2026-08-04,present
s1,2026-08-05,present
s1,2026-08-06,present
s1,2026-08-07,present
s1,2026-08-08,weekend
s1,2026-08-09,weekend
s1,2026-08-10,present
s1,2026-08-11,present
s1,2026-08-12,present
s1,2026-08-13,present
s1,2026-08-14,present
s1,2026-08-15,weekend
s1,2026-08-16,weekend
s2,2026-04-14,present
s2,2026-04-15,present
s2,2026-04-16,present
s2,2026-04-17,present
s2,2026-04-18,weekend
s2,2026-04-19,weekend
s2,2026-04-20,present
s2,2026-04-21,present
s2,2026-04-22,present
s2,2026-04-23,present
s2,2026-04-24,present
s2,2026-04-25,weekend
s2,2026-04-26,weekend
s2,2026-04-27,present
s2,2026-04-28,present
s2,2026-04-29,present
s2,2026-04-30,present
s2,2026-05-01,present
s2,2026-05-02,weekend
s2,2026-05-03,weekend
s2,2026-05-04,present
s2,2026-05-05,present
s2,2026-05-06,present
s2,2026-05-07,present
s2,2026-05-08,present
s2,2026-05-09,weekend
s2,2026-05-10,weekend
s2,2026-05-11,present
s2,2026-05-12,present
s2,2026-05-13,present
s2,2026-05-14,present
s2,2026-05-15,present
s2,2026-05-16,weekend
s2,2026-05-17,weekend
s2,2026-05-18,present
s2,2026-05-19,present
s2,2026-05-20,present
s2,2026-05-21,present
s2,2026-05-22,present
s2,2026-05-23,weekend
s2,2026-05-24,weekend
s2,2026-05-25,present
s2,2026-05-26,present
s2,2026-05-27,present
s2,2026-05-28,present
s2,2026-05-29,present
s2,2026-05-30,weekend
s2,2026-05-31,weekend
s2,2026-06-01,present
s2,2026-06-02,present
s2,2026-06-03,present
s2,2026-06-04,present
s2,2026-06-05,present
s2,2026-06-06,weekend
s2,2026-06-07,weekend
s2,2026-06-08,present
s2,2026-06-09,present
s2,2026-06-10,present
s2,2026-06-11,present
s2,2026-06-12,present
s2,2026-06-13,weekend
s2,2026-06-14,weekend
s2,2026-06-15,present
s2,2026-06-16,present
s2,2026-06-17,present
s2,2026-06-18,present
s2,2026-06-19,present
s2,2026-06-20,weekend
s2,2026-06-21,weekend
s2,2026-06-22,present
s2,2026-06-23,present
s2,2026-06-24,present
s2,2026-06-25,present
s2,2026-06-26,present
s2,2026-06-27,weekend
s2,2026-06-28,weekend
s2,2026-06-29,present
s2,2026-06-30,present
s2,2026-07-01,present
s2,2026-07-02,present
s2,2026-07-03,present
s2,2026-07-04,weekend
s2,2026-07-05,weekend
s2,2026-07-06,present
s2,2026-07-07,present
s2,2026-07-08,present
s2,2026-07-09,present
s2,2026-07-10,present
s2,2026-07-11,weekend
s2,2026-07-12,weekend
s2,2026-07-13,present
s2,2026-07-14,present
s2,2026-07-15,present
s2,2026-07-16,present
s2,2026-07-17,present
s2,2026-07-18,weekend
s2,2026-07-19,weekend
s2,2026-07-20,present
s2,2026-07-21,present
s2,2026-07-22,present
s2,2026-07-23,present
s2,2026-07-24,present
s2,2026-07-25,weekend
s2,2026-07-26,weekend
s2,2026-07-27,present
s2,2026-07-28,present
s2,2026-07-29,present
s2,2026-07-30,present
s2,2026-07-31,present
s2,2026-08-01,weekend
s2,2026-08-02,weekend
s2,2026-08-03,present
s2,2026-08-04,present
s2,2026-08-05,present
s2,2026-08-06,present
s2,2026-08-07,present
s2,2026-08-08,weekend
s2,2026-08-09,weekend
s2,2026-08-10,present
s2,2026-08-11,present
s2,2026-08-12,present
s2,2026-08-13,present
s2,2026-08-14,present
s2,2026-08-15,weekend
s2,2026-08-16,weekend
s3,2026-04-14,present
s3,2026-04-15,present
s3,2026-04-16,present
s3,2026-04-17,present
s3,2026-04-18,weekend
s3,2026-04-19,weekend
s3,2026-04-20,present
s3,2026-04-21,present
s3,2026-04-22,present
s3,2026-04-23,present
s3,2026-04-24,present
s3,2026-04-25,weekend
s3,2026-04-26,weekend
s3,2026-04-27,present
s3,2026-04-28,present
s3,2026-04-29,present
s3,2026-04-30,present
s3,2026-05-01,present
s3,2026-05-02,weekend
s3,2026-05-03,weekend
s3,2026-05-04,present
s3,2026-05-05,present
s3,2026-05-06,present
s3,2026-05-07,present
s3,2026-05-08,present
s3,2026-05-09,weekend
s3,2026-05-10,weekend
s3,2026-05-11,present
s3,2026-05-12,present
s3,2026-05-13,present
s3,2026-05-14,present
s3,2026-05-15,present
s3,2026-05-16,weekend
s3,2026-05-17,weekend
s3,2026-05-18,present
s3,2026-05-19,present
s3,2026-05-20,present
s3,2026-05-21,present
s3,2026-05-22,present
s3,2026-05-23,weekend
s3,2026-05-24,weekend
s3,2026-05-25,present
s3,2026-05-26,present
s3,2026-05-27,present
s3,2026-05-28,present
s3,2026-05-29,present
s3,2026-05-30,weekend
s3,2026-05-31,weekend
s3,2026-06-01,present
s3,2026-06-02,present
s3,2026-06-03,present
s3,2026-06-04,present
s3,2026-06-05,present
s3,2026-06-06,weekend
s3,2026-06-07,weekend
s3,2026-06-08,present
s3,2026-06-09,present
s3,2026-06-10,present
s3,2026-06-11,present
s3,2026-06-12,present
s3,2026-06-13,weekend
s3,2026-06-14,weekend
s3,2026-06-15,present
s3,2026-06-16,present
s3,2026-06-17,present
s3,2026-06-18,present
s3,2026-06-19,present
s3,2026-06-20,weekend
s3,2026-06-21,weekend
s3,2026-06-22,present
s3,2026-06-23,present
s3,2026-06-24,present
s3,2026-06-25,present
s3,2026-06-26,present
s3,2026-06-27,weekend
s3,2026-06-28,weekend
s3,2026-06-29,present
s3,2026-06-30,present
s3,2026-07-01,present
s3,2026-07-02,present
s3,2026-07-03,present
s3,2026-07-04,weekend
s3,2026-07-05,weekend
s3,2026-07-06,present
s3,2026-07-07,present
s3,2026-07-08,present
s3,2026-07-09,present
s3,2026-07-10,present
s3,2026-07-11,weekend
s3,2026-07-12,weekend
s3,2026-07-13,present
s3,2026-07-14,present
s3,2026-07-15,present
s3,2026-07-16,present
s3,2026-07-17,present
s3,2026-07-18,weekend
s3,2026-07-19,weekend
s3,2026-07-20,present
s3,2026-07-21,present
s3,2026-07-22,present
s3,2026-07-23,present
s3,2026-07-24,present
s3,2026-07-25,weekend
s3,2026-07-26,weekend
s3,2026-07-27,present
s3,2026-07-28,present
s3,2026-07-29,present
s3,2026-07-30,present
s3,2026-07-31,present
s3,2026-08-01,weekend
s3,2026-08-02,weekend
s3,2026-08-03,present
s3,2026-08-04,present
s3,2026-08-05,present
s3,2026-08-06,present
s3,2026-08-07,present
s3,2026-08-08,weekend
s3,2026-08-09,weekend
s3,2026-08-10,present
s3,2026-08-11,present
s3,2026-08-12,present
s3,2026-08-13,present
s3,2026-08-14,present
s3,2026-08-15,weekend
s3,2026-08-16,weekend
s4,2026-04-14,present
s4,2026-04-15,present
s4,2026-04-16,present
s4,2026-04-17,present
s4,2026-04-18,weekend
s4,2026-04-19,weekend
s4,2026-04-20,present
s4,2026-04-21,present
s4,2026-04-22,present
s4,2026-04-23,present
s4,2026-04-24,present
s4,2026-04-25,weekend
s4,2026-04-26,weekend
s4,2026-04-27,present
s4,2026-04-28,present
s4,2026-04-29,present
s4,2026-04-30,present
s4,2026-05-01,present
s4,2026-05-02,weekend
s4,2026-05-03,weekend
s4,2026-05-04,present
s4,2026-05-05,present
s4,2026-05-06,present
s4,2026-05-07,present
s4,2026-05-08,present
s4,2026-05-09,weekend
s4,2026-05-10,weekend
s4,2026-05-11,present
s4,2026-05-12,present
s4,2026-05-13,present
s4,2026-05-14,present
s4,2026-05-15,present
s4,2026-05-16,weekend
s4,2026-05-17,weekend
s4,2026-05-18,present
s4,2026-05-19,present
s4,2026-05-20,present
s4,2026-05-21,present
s4,2026-05-22,present
s4,2026-05-23,weekend
s4,2026-05-24,weekend
s4,2026-05-25,present
s4,2026-05-26,present
s4,2026-05-27,present
s4,2026-05-28,present
s4,2026-05-29,present
s4,2026-05-30,weekend
s4,2026-05-31,weekend
s4,2026-06-01,present
s4,2026-06-02,present
s4,2026-06-03,present
s4,2026-06-04,present
s4,2026-06-05,present
s4,2026-06-06,weekend
s4,2026-06-07,weekend
s4,2026-06-08,present
s4,2026-06-09,present
s4,2026-06-10,present
s4,2026-06-11,present
s4,2026-06-12,present
s4,2026-06-13,weekend
s4,2026-06-14,weekend
s4,2026-06-15,present
s4,2026-06-16,present
s4,2026-06-17,present
s4,2026-06-18,present
s4,2026-06-19,present
s4,2026-06-20,weekend
s4,2026-06-21,weekend
s4,2026-06-22,present
s4,2026-06-23,present
s4,2026-06-24,present
s4,2026-06-25,present
s4,2026-06-26,present
s4,2026-06-27,weekend
s4,2026-06-28,weekend
s4,2026-06-29,present
s4,2026-06-30,present
s4,2026-07-01,present
s4,2026-07-02,present
s4,2026-07-03,present
s4,2026-07-04,weekend
s4,2026-07-05,weekend
s4,2026-07-06,present
s4,2026-07-07,present
s4,2026-07-08,present
s4,2026-07-09,present
s4,2026-07-10,present
s4,2026-07-11,weekend
s4,2026-07-12,weekend
s4,2026-07-13,present
s4,2026-07-14,present
s4,2026-07-15,present
s4,2026-07-16,present
s4,2026-07-17,present
s4,2026-07-18,weekend
s4,2026-07-19,weekend
s4,2026-07-20,present
s4,2026-07-21,present
s4,2026-07-22,present
s4,2026-07-23,present
s4,2026-07-24,present
s4,2026-07-25,weekend
s4,2026-07-26,weekend
s4,2026-07-27,present
s4,2026-07-28,present
s4,2026-07-29,present
s4,2026-07-30,present
s4,2026-07-31,present
s4,2026-08-01,weekend
s4,2026-08-02,weekend
s4,2026-08-03,present
s4,2026-08-04,present
s4,2026-08-05,present
s4,2026-08-06,present
s4,2026-08-07,present
s4,2026-08-08,weekend
s4,2026-08-09,weekend
s4,2026-08-10,present
s4,2026-08-11,present
s4,2026-08-12,present
s4,2026-08-13,present
s4,2026-08-14,present
s4,2026-08-15,weekend
s4,2026-08-16,weekend
